title,make,model,year,condition,transmission,price
Mini Cooper S 2012 Blue,Mini,Cooper S,2012,local used,automatic,"₦ 8,200,000"
Toyota Sequoia Limited 4x4 2018 Black,Toyota,Sequoia Limited,2018,,automatic,"₦ 48,000,000"
Toyota Tacoma 2019 Black,Toyota,Tacoma,2019,,automatic,"₦ 40,000,000"
Lexus GX 2007 Black,Lexus,GX,2007,local used,automatic,"₦ 10,000,000"
Toyota Camry 1998 Blue,Toyota,Camry,1998,local used,automatic,"₦ 3,000,000"
Toyota FJ Cruiser Base 4x4 2007 Silver,Toyota,FJ Cruiser,2007,,automatic,"₦ 18,500,000"
Honda Pilot 2011 Gray,Honda,Pilot,2011,,automatic,"₦ 17,500,000"
Land Rover Range Rover Evoque 2013 White,Land,Rover Range,2013,,automatic,"₦ 20,000,000"
Toyota RAV4 Adventure 2019 Green,Toyota,RAV4 Adventure,2019,,automatic,"₦ 47,500,000"
Toyota FJ Cruiser 2012 White,Toyota,FJ Cruiser,2012,,automatic,"₦ 30,000,000"
Toyota Camry 2014 Silver,Toyota,Camry,2014,local used,automatic,"₦ 15,200,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,local used,automatic,"₦ 12,000,000"
Honda Accord 2014 White,Honda,Accord,2014,local used,automatic,"₦ 15,000,000"
Land Rover Range Rover 5.0L Supercharged 2018 Black,Land,Rover Range,2018,,automatic,"₦ 82,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2011 Gray,Toyota,Corolla S,2011,local used,automatic,"₦ 8,950,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Gold,Toyota,Camry LE,2012,local used,automatic,"₦ 10,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Silver,Mercedes-Benz,GLK-Class 350,2013,,automatic,"₦ 24,000,000"
Mercedes-Benz GLK-Class 2011 Black,Mercedes-Benz,GLK-Class,2011,,automatic,"₦ 18,700,000"
Lexus RX 350 2010 Gray,Lexus,RX 350,2010,,automatic,"₦ 24,000,000"
Honda Accord 2014 Black,Honda,Accord,2014,,automatic,"₦ 16,400,000"
Lexus RX 350 2017 Gold,Lexus,RX 350,2017,,automatic,"₦ 62,000,000"
Honda Accord 2009 Gray,Honda,Accord,2009,,automatic,"₦ 10,000,000"
Toyota Highlander Limited V6 2006 Blue,Toyota,Highlander Limited,2006,,automatic,"₦ 14,200,000"
Toyota Land Cruiser Prado 4.0 V6 Dual VVT-i 2015 Silver,Toyota,Land Cruiser,2015,,automatic,"₦ 65,000,000"
Hyundai Sonata Limited 2.0T Seban (2.0L 4cyl 6A) 2016 Burgundy,Hyundai,Sonata Limited,2016,,automatic,"₦ 16,900,000"
Mercedes-Benz GLK-Class Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A) 2015,Mercedes-Benz,GLK-Class Base,2015,,automatic,"₦ 21,700,000"
Lexus RX 350 2008 Silver,Lexus,RX 350,2008,,automatic,"₦ 13,600,000"
Mercedes-Benz GLA 250 2016 White,Mercedes-Benz,GLA 250,2016,,automatic,"₦ 27,500,000"
Lexus ES 350 FWD 2016 White,Lexus,ES 350,2016,,automatic,"₦ 36,500,000"
Lexus RX 350 FWD 2013 Red,Lexus,RX 350,2013,,automatic,"₦ 29,500,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 6M) 2015 Gray,Toyota,Corolla L,2015,,automatic,"₦ 15,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,Mercedes-Benz,GLK-Class 350,2012,,automatic,"₦ 18,000,000"
Toyota Highlander Limited Platinum 4x4 V6 (3.5L 6cyl 8A) 2017 Black,Toyota,Highlander Limited,2017,,automatic,"₦ 44,500,000"
Dodge Challenger SRT8 2011 Brown,Dodge,Challenger SRT8,2011,,automatic,"₦ 20,000,000"
